trial,seed,status,episode_jsonl,steps,n_targets_active_final,success_all_targets_neutralized,stderr
0,100123,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
1,100124,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
2,100125,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
3,100126,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
4,100127,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
5,100128,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
6,100129,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
7,100130,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
8,100131,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
9,100132,error,,,,,"Traceback (most recent call last):
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 140, in <module>
    main()
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\scripts\run_episode.py"", line 24, in main
    cfg = parse_config(load_yaml(args.config))
  File ""C:\Users\josep\Desktop\Personal ML Projects\engagement-autonomy\src\engagement_autonomy\config.py"", line 124, in parse_config
    max_pairs_per_agent=int(pld[""max_pairs_per_agent""]),
KeyError: 'max_pairs_per_agent'"
